646,136,136,120,78,55,55,36,15,15,,
647,231,120,105,105,55,28,3,,,,
648,171,120,120,55,55,45,36,36,10,,
649,210,120,78,78,55,36,36,21,15,,
650,120,120,78,78,55,55,36,36,36,36,
651,171,171,171,45,45,45,3,,,,
652,171,120,120,120,55,45,15,6,,,
654,465,55,55,55,21,3,,,,,
655,210,120,78,55,55,55,36,36,10,,
656,171,120,78,78,78,55,45,21,10,,
657,171,78,78,78,45,45,45,45,36,36,
658,231,231,105,78,10,3,,,,,
659,210,120,120,78,55,55,15,6,,,
660,171,120,120,105,45,28,28,28,15,,
661,171,120,55,45,45,45,45,45,45,45,
662,120,120,78,78,55,55,45,45,45,21,
663,231,105,105,105,105,6,6,,,,
664,231,120,105,105,55,28,10,10,,,
665,406,105,78,28,21,21,6,,,,
666,300,78,55,55,55,36,36,36,15,,
667,300,120,78,55,36,36,36,6,,,
668,210,78,55,55,45,45,45,45,45,45,
669,120,120,120,55,55,55,36,36,36,36,
670,136,136,120,78,78,55,36,21,10,,
671,231,120,105,105,55,28,21,6,,,
672,300,210,55,55,36,10,6,,,,
673,300,120,120,36,36,36,15,10,,,
674,231,171,78,45,36,36,28,28,21,,
675,171,120,120,78,55,55,45,21,10,,
676,171,120,78,55,45,45,45,45,36,36,
677,105,105,105,78,78,78,36,36,28,28,
678,465,120,21,21,21,15,15,,,,
679,136,136,136,136,36,36,21,21,21,,
680,300,136,136,78,10,10,10,,,,
681,120,105,105,105,55,45,45,45,28,28,
682,136,136,78,55,55,55,55,55,36,21,
683,210,78,78,55,55,45,45,45,36,36,
684,231,171,120,55,45,28,28,6,,,
686,120,120,78,78,55,55,55,55,55,15,
687,171,136,136,78,55,45,36,15,15,,
688,231,171,105,105,45,28,3,,,,
689,171,171,120,55,45,45,36,36,10,,
690,136,136,120,55,45,45,45,36,36,36,
691,171,120,78,78,55,45,36,36,36,36,
692,231,105,105,78,45,45,45,28,10,,
693,171,171,120,120,45,45,15,6,,,
694,465,78,78,55,15,3,,,,,
695,120,120,105,78,78,55,55,28,28,28,
696,120,105,105,105,78,55,36,36,28,28,
697,171,171,78,78,78,45,45,21,10,,
698,136,136,78,78,78,45,45,45,36,21,
699,300,78,55,55,55,55,55,36,10,,
700,171,171,171,120,55,6,6,,,,
701,210,105,105,105,55,55,28,28,10,,
702,210,120,55,55,55,45,45,45,36,36,
703,171,120,78,78,55,45,45,45,45,21,
704,136,136,78,78,78,78,78,36,6,,
705,406,105,45,45,45,28,21,10,,,
706,210,171,120,120,45,15,15,10,,,
707,231,105,105,78,78,36,36,28,10,,
708,171,78,78,78,78,55,55,55,45,15,
709,105,105,105,105,105,45,45,45,28,21,
710,300,136,136,45,45,45,3,,,,
711,406,105,78,78,28,10,6,,,,
712,300,120,55,55,55,55,36,21,15,,
713,465,120,55,55,15,3,,,,,
714,465,120,120,6,3,,,,,,
715,171,120,120,78,78,78,45,15,10,,
716,171,171,120,78,55,45,45,21,10,,
717,136,136,120,78,55,45,45,45,36,21,
718,171,120,78,78,78,55,45,36,36,21,
720,406,105,78,36,36,28,21,10,,,
721,120,120,120,78,78,55,45,45,45,15,
722,171,105,105,105,45,45,45,45,28,28,
723,136,136,120,78,78,78,55,36,6,,
724,406,231,78,6,3,,,,,,
725,231,120,120,78,55,55,28,28,10,,
726,231,120,105,105,55,36,36,28,10,,
727,171,120,78,78,55,55,55,55,45,15,
728,171,120,120,78,78,55,55,45,6,,
729,171,171,171,120,55,21,10,10,,,
730,406,120,105,55,28,10,6,,,,
731,465,120,120,10,10,6,,,,,
732,300,231,78,36,28,28,21,10,,,
733,105,105,105,105,105,55,55,55,28,15,
734,120,105,105,105,105,105,55,28,6,,
735,136,136,136,136,120,55,10,6,,,
736,120,120,120,78,78,78,55,36,36,15,
737,171,120,120,78,55,55,45,36,36,21,
738,231,120,120,120,55,28,28,21,15,,
739,253,66,66,66,66,66,45,45,45,21,
740,120,120,120,120,55,55,45,45,45,15,
741,136,136,120,78,55,55,55,55,36,15,
742,136,136,120,120,78,55,55,36,6,,
743,210,105,78,78,78,55,55,28,28,28,
744,210,120,78,78,55,55,55,36,36,21,
745,171,120,78,78,78,78,55,45,21,21,
746,300,55,55,55,55,55,45,45,45,36,
747,171,120,120,120,55,55,55,45,6,,
748,136,136,120,120,120,55,36,15,10,,
749,300,120,78,78,55,36,36,36,10,,
750,136,136,120,105,78,55,36,28,28,28,
751,136,136,105,105,105,36,36,36,28,28,
752,210,78,78,78,78,78,55,55,21,21,
753,231,120,105,105,78,55,28,21,10,,
754,210,120,120,120,78,55,21,15,15,,
755,171,120,120,105,55,55,45,28,28,28,
756,210,210,120,120,55,21,10,10,,,
757,171,171,171,78,45,45,45,21,10,,
758,406,105,78,45,45,45,28,6,,,
759,231,210,120,55,36,36,28,28,15,,
760,210,120,120,120,55,55,55,15,10,,
761,210,120,120,120,120,55,10,6,,,
762,210,120,105,78,55,55,55,28,28,28,
763,210,105,105,105,55,55,36,36,28,28,
764,171,136,136,78,78,78,45,36,6,,
765,231,105,105,55,55,55,55,55,28,21,
766,231,171,120,78,55,45,28,28,10,,
